sector,52_week_high,readable_date,prev_close,stock_page,open_price,sell_qty,date,company_link,today_low,buy_qty,recommended_to_sell,52_week_low,company_name,recommended_to_buy,today_high
Power - Transmission & Equipment,525.0,30-Jan-2017,315.45,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD,319.6,2113,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/getdindia/news/ATD,314.0,2130,8,285.0,GE T&D India,100,324.0
Pesticides & Agro Chemicals,2744.85,30-Jan-2017,2295.5,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39,2318.6,323,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/monsantoindia/news/MI39,2295.0,244,50,1520.0,Monsanto India,50,2318.6
Engineering - Heavy,190.4,30-Jan-2017,157.5,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/walchandnagarindustries/WI01,158.8,8221,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/walchandnagar/news/WI01,157.55,2290,15,115.8,Walchandnagar,77,163.05
Finance - Housing,1463.25,30-Jan-2017,1336.0,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,1334.0,2875,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/hdfc/news/HDF,1331.9,2379,33,1012.0,HDFC,65,1375.0
Diversified,1069.7,30-Jan-2017,926.6,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,929.5,8201,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/grasim/news/GI01,923.65,2759,33,648.41,Grasim,100,940.0
Pharmaceuticals,2648.0,30-Jan-2017,1779.7,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/pfizer/P,1781.75,336,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/pfizer/news/P,1780.6,454,50,1611.0,Pfizer,50,1799.8
Castings & Forgings,491.0,30-Jan-2017,391.45,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06,410.0,988,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/aliconcastallo/news/EC06,398.5,1800,25,242.2,Alicon Castallo,75,410.0
Diversified,151.8,30-Jan-2017,120.9,http://www.moneycontrol.com/india/stockpricequote/diversified/navabharatventures/NBV,121.35,1907000,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/navabharatven/news/NBV,118.35,4892,25,64.0,Nava Bharat Ven,100,121.5
Miscellaneous,226.0,30-Jan-2017,193.1,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vguardindustries/VI02,193.7,5971,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/v-guardind/news/VI02,193.7,3315,19,78.66,V-Guard Ind,73,198.5
Miscellaneous,1012.0,30-Jan-2017,851.1,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,855.0,889,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/infoedge/news/IEI01,843.6,550,67,690.0,Info Edge,33,857.55
Personal Care,1260.8,30-Jan-2017,1000.9,http://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06,996.0,780,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/emami/news/E06,990.4,862,67,901.0,Emami,100,1015.0
Cement - Major,18519.0,30-Jan-2017,15751.7,http://www.moneycontrol.com/india/stockpricequote/cementmajor/shreecements/SC12,15777.0,49,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/shreecements/news/SC12,15777.0,65,67,9350.0,Shree Cements,100,16008.9
Computers - Software,563.75,30-Jan-2017,465.5,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4,465.0,8507,2017-01-30 00:00:00,http://www.moneycontrol.com/company-article/techmahindra/news/TM4,462.4,6955,27,405.1,Tech Mahindra,73,470.5
