sector,company_name,current_price,open_price,prev_close,52_week_high,52_week_low,today_low,today_high,buy_qty,sell_qty,recommended_to_sell,recommended_to_buy,stock_page,company_link,readable_date
Auto Ancillaries,Munjal Auto Ind,93.75,90.9,90.8,117.8,62.2,90.9,95.4,7692,4009,50,100,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04,http://www.moneycontrol.com/company-article/munjalautoind/news/MAI04,04-Feb-2017
Sugar,Andhra Sugar,228.0,227.4,225.5,274.9,102.0,227.1,230.5,3214,1786,50,50,http://www.moneycontrol.com/india/stockpricequote/sugar/andhrasugars/AS18,http://www.moneycontrol.com/company-article/andhrasugar/news/AS18,04-Feb-2017
Cement - Major,J. K. Cement,735.1,719.8,709.0,990.0,425.0,719.8,747.0,4211,960,50,100,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03,http://www.moneycontrol.com/company-article/jkcement/news/JKC03,04-Feb-2017
Pharmaceuticals,Divis Labs,708.0,677.0,673.8,1380.0,672.2,675.4,715.95,1397000,6027,19,76,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,http://www.moneycontrol.com/company-article/divislabs/news/DL03,04-Feb-2017
Pesticides & Agro Chemicals,Nagarjuna Agric,34.2,33.95,32.85,34.9,15.0,32.0,34.9,2386000,1628000,29,71,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/nagarjunaagrichem/NA04,http://www.moneycontrol.com/company-article/nagarjunaagric/news/NA04,03-Feb-2017
Textiles - Processing,Blue Chip Tex,106.9,105.0,104.75,130.5,57.0,103.5,106.9,1226,819,100,100,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bluechiptexfuelindustries/BCT,http://www.moneycontrol.com/company-article/bluechiptex/news/BCT,03-Feb-2017
Cement - Major,KCP,86.65,85.7,84.85,115.85,58.5,85.7,88.1,1175000,6691,50,100,http://www.moneycontrol.com/india/stockpricequote/cementmajor/kcp/KCP,http://www.moneycontrol.com/company-article/kcp/news/KCP,03-Feb-2017
Textiles - Processing,AYM Syntex,97.8,89.9,89.3,163.5,65.0,88.95,101.25,8461,4344,25,75,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/aymsyntex/WS01,http://www.moneycontrol.com/company-article/aymsyntex/news/WS01,03-Feb-2017
Sugar,Ugar Sugar Work,33.3,32.1,31.95,73.1,10.9,32.0,33.5,1304000,1033,100,100,http://www.moneycontrol.com/india/stockpricequote/sugar/ugarsugarworks/USW,http://www.moneycontrol.com/company-article/ugarsugarwork/news/USW,03-Feb-2017
Pharmaceuticals,Novartis India,684.55,682.5,682.35,895.0,600.0,682.45,692.7,1744,1067,100,100,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/novartisindia/NI01,http://www.moneycontrol.com/company-article/novartisindia/news/NI01,03-Feb-2017
Cement - Major,JK Lakshmi Cem,371.5,361.3,358.8,513.75,253.0,361.1,371.5,3076,1721,100,80,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01,http://www.moneycontrol.com/company-article/jklakshmicem/news/JKL01,03-Feb-2017
Textiles - Spinning - Cotton Blended,Citizen Yarns,1.84,1.83,1.82,30.93,1.5,1.83,1.98,1115000,3401,100,80,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/citizenyarns/CY,http://www.moneycontrol.com/company-article/citizenyarns/news/CY,03-Feb-2017
Sugar,Rajshree Sugars,71.55,70.25,69.1,89.75,19.7,70.25,72.15,4883,2044,50,83,http://www.moneycontrol.com/india/stockpricequote/sugar/rajshreesugarschemicals/RSC,http://www.moneycontrol.com/company-article/rajshreesugars/news/RSC,02-Feb-2017
Finance - Investments,Summit Sec,418.9,414.0,414.0,503.0,221.0,414.0,420.0,615,279,100,100,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/summitsecurities/SS56,http://www.moneycontrol.com/company-article/summitsec/news/SS56,02-Feb-2017
Electric Equipment,Salzer Electro,200.6,198.85,197.25,267.0,160.0,195.6,203.5,2956,1938,100,100,http://www.moneycontrol.com/india/stockpricequote/electricequipment/salzerelectronics/SE01,http://www.moneycontrol.com/company-article/salzerelectro/news/SE01,02-Feb-2017
Construction & Contracting - Civil,Hind Constr,44.0,43.5,42.85,44.85,16.6,43.3,44.5,6245000,147,13,83,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/hindustanconstructioncompany/HCC,http://www.moneycontrol.com/company-article/hindconstr/news/HCC,02-Feb-2017
Construction & Contracting - Real Estate,Godrej Prop,336.4,328.55,324.9,386.0,266.4,326.25,339.0,3073,1653,100,83,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,http://www.moneycontrol.com/company-article/godrejprop/news/GP11,02-Feb-2017
Pharmaceuticals,Glenmark,903.0,877.0,873.9,995.75,671.5,876.1,903.9,4837,1038,13,73,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,http://www.moneycontrol.com/company-article/glenmark/news/GP08,02-Feb-2017
Chemicals,Alkyl Amines,320.15,320.0,319.0,409.75,279.6,315.0,323.0,1948,926,13,100,http://www.moneycontrol.com/india/stockpricequote/chemicals/alkylamineschemicals/AAC,http://www.moneycontrol.com/company-article/alkylamines/news/AAC,01-Feb-2017
Shipping,Gujarat Pipavav,141.8,140.25,139.85,197.35,121.2,139.1,142.9,1199000,1005000,13,83,http://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03,http://www.moneycontrol.com/company-article/gujaratpipavav/news/GPP03,01-Feb-2017
Tyres,Apollo Tyres,187.0,186.7,186.7,235.0,127.95,186.1,189.7,1382000,1118000,50,100,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,http://www.moneycontrol.com/company-article/apollotyres/news/AT14,01-Feb-2017
