sector,company_name,current_price,open_price,prev_close,52_week_high,52_week_low,today_low,today_high,buy_qty,sell_qty,recommended_to_sell,recommended_to_buy,bullish
Computers - Software,wipro,537.15,534.0,535.45,577.5,410.0,533.15,540.0,7589,5317,,100,False
Aluminium,Hindalco,200.5,204.0,203.15,210.0,98.25,199.95,208.15,4125000,3743000,43,50,False
Pharmaceuticals,Lupin,1161.2,1139.0,1161.2,1750.0,1080.0,1138.55,1185.0,6686,4562,43,100,False
Banks - Private Sector,ICICI,326.3,322.25,326.3,327.1,221.35,318.5,327.1,7981000,1713000,36,64,False
Auto - Cars & Jeeps,M&M,1416.35,1385.15,1362.0,1508.8,1141.8,1382.0,1449.0,3907,4814,9,91,False
Paints & Varnishes,Asian Paints,1152.6,1156.0,1152.6,1230.0,850.1,1144.0,1164.0,768,5740,50,50,False
Auto - LCVs & HCVs,Tata motors,476.2,480.5,476.2,598.6,417.1,475.0,482.7,8941,1639000,38,62,False
Personal Care,HUL,1066.8,1071.0,1070.65,1080.0,782.95,1061.0,1074.45,2401,1484,38,100,True
Infrastructure - General,LT,1759.75,1771.0,1759.75,1834.0,1295.3,1751.0,1784.5,5360,9465,8,85,False
Diversified,voltas,486.4,486.4,486.4,501.05,287.0,483.35,494.0,4856,3928,33,67,False
Mining & Minerals,vedanta,239.0,244.8,239.0,278.0,103.05,237.9,245.95,1509000,3322000,33,100,False
Castings & Forgings,Bharat forge,1167.9,1147.0,1167.9,1175.0,686.8,1144.0,1174.95,4842,1968,33,100,False
Steel - Large,Tata Steel,504.9,510.7,504.9,520.4,297.4,502.5,514.8,1684000,226000,50,50,False
Auto - LCVs & HCVs,tata motors,476.2,480.5,476.2,598.6,417.1,475.0,482.7,8941,1639000,38,62,False
Refineries,IOC,431.85,424.0,419.9,667.2,281.7,421.2,438.45,1893000,3063000,38,100,False
Refineries,Hindustan petroleum,550.15,559.0,555.1,1328.95,390.0,546.35,559.0,3584000,1466000,38,100,True
Banks - Private Sector,Yes Bank,1431.9,1441.0,1439.35,1652.9,1005.7,1410.0,1449.35,5618,2287,38,100,True
Infrastructure - General,BEML,1222.65,1194.0,1222.65,1440.0,770.15,1194.0,1271.95,835,1196,50,50,False
Pharmaceuticals,Aurobindo Pharma,574.15,580.35,574.15,895.0,504.0,567.35,583.25,7650,8180,13,87,False
Telecommunications - Service,Airtel,371.8,371.0,369.75,400.65,283.95,368.2,376.5,1798000,8727,13,87,True
Pharmaceuticals,Natco Pharma,933.65,948.9,939.65,1015.0,467.0,930.5,966.65,2035,3792,13,100,False
Computers - Software,hcl tech,865.3,866.4,865.3,889.65,708.0,859.0,869.9,3114,6207,13,100,False
Cigarettes,ITC,311.9,312.0,311.9,319.9,178.76,307.2,313.5,2319000,187000,11,89,True
Finance - Housing,Indiabulls,1159.95,1120.0,1159.95,1165.0,616.05,1112.75,1165.0,2549,1389,33,67,False
Infrastructure - General,adani ports,338.95,343.5,338.95,361.6,192.0,336.95,345.3,2047000,6033,40,60,False
